commit,line,message,time,ngram,leven,code,flag
-1104,-31810,-22,-210441,1,5105,216,3
-4000,-92460,-11,-27955,45,193,18,3
2212,44381,-60,23266288,4,257,16,3
0,0,-23,1618418,0,59,4,3
0,0,-23,1618418,7,107,7,3
0,0,-23,1618418,14,437,40,1
1049,21677,51,4976528,0,404,17,3
1049,21677,51,4976528,15,386,14,2
0,0,23,-35420,4,22,5,3
0,0,23,-35420,72,15,8,2
0,0,-18,-24480,0,57,6,3
0,0,-5,-4764,26,41,5,3
0,0,14,-9912,8,85,6,3
0,0,49,-9712,28,60,11,2
0,0,49,-9712,8,312,25,2
-1930,-43351,6,-3774927,18,52,5,1
0,0,24,2034023,3,137,15,3
0,0,-36,13010,0,599,26,3
1382,34374,37,6779796,33,10,4,3
0,0,-18,3470865,25,338,32,3
0,0,-8,305891,77,37,11,3
2427,79354,-23,-6934,72,15,4,3
1966,71053,-1,-186299,38,144,6,3
2352,78074,33,-5000,80,10,6,2
2863,94980,12,17382224,25,38,6,3
2863,94980,12,17382224,73,14,4,3
-2,-208,0,0,36,271,48,1
-2,-208,0,0,67,444,104,1
2306,76974,-36,13535897,0,21813,478,3
2306,76974,-36,13535897,5,174,17,3
2799,93564,-54,4404370,37,86,8,3
2793,93222,-33,-1777,9,257,12,3
1657,61460,0,626,100,0,5,1
505,13059,-5,2135582,1,49,6,3
505,13059,-5,2135582,7,401,33,3
505,13059,-5,2135582,87,28,6,3
2344,81932,-17,5458,4,30,6,3
1879,68638,-8,152437,2,23,5,3
1879,68638,-8,152437,6,1244,36,3
309,9036,47,-36434,42,6,4,3
1284,51177,-41,2064,30,25,4,3
1284,51177,-41,2064,51,13,4,3
2061,73282,-13,8153759,1,227,18,3
2061,73282,-13,8153759,15,39,5,3
2045,73102,2,7143495,17,577,44,3
2045,73102,2,7143495,69,16,11,3
-1962,-71528,35,38153,87,3,4,3
1955,71360,0,472494,29,14,4,3
1835,67695,-42,100341,14,54,8,3
1836,67793,-1,2590,21,21,4,3
0,506,-13,-1603775,10,117,27,2
0,506,-13,-1603775,31,65,4,3
0,506,-13,-1603775,11,126,9,2
0,506,-13,-1603775,11,279,17,2
0,506,-13,-1603775,0,95,8,3
0,506,-13,-1603775,47,7694,1002,2
0,506,-13,-1603775,86,1648,487,2
-44,-1724,34,20590,0,6673,185,3
0,0,69,-297798,31,121,17,3
-168,-8465,131,86044,0,95,8,1
-168,-8465,131,86044,0,188,15,3
-168,-8465,131,86044,0,188,15,3
-168,-8465,131,86044,0,429,12,2
-46,-11855,-23,-4094,0,214,9,2
-46,-11855,-23,-4094,1,5795,166,2
-46,-11855,-23,-4094,0,5717,158,3
-132,4029,13,524,51,74,9,3
197,8679,7,8060603,11,28,6,3
194,8767,-29,11568540,90,147,67,1
194,8767,-29,11568540,19,348,9,1
170,8179,18,1144397,24,106,12,1
170,8179,18,1144397,30,2963,293,3
170,8179,18,1144397,15,13,5,3
0,0,39,3513296,29,421,21,3
36,11957,15,312427,17,890,87,3
36,11957,15,312427,20,1203,96,3
36,11957,15,312427,28,5,4,3
0,0,-20,37344,0,13,3,1
100,1708,36,-45453,20,336,21,1
100,1708,36,-45453,10,97,8,1
100,1708,36,-45453,14,266,14,1
100,1708,36,-45453,29,943,99,3
100,1708,36,-45453,21,8,4,3
67,1442,-78,-4787301,36,201,20,3
67,1442,-78,-4787301,1,6114,137,1
67,1442,-78,-4787301,4,2922,111,1
31,509,8,-79118,0,2398,114,1
31,509,8,-79118,100,0,4,3
31,509,8,-79118,100,0,6,2
31,509,8,-79118,100,0,4,3
31,509,8,-79118,37,112,7,1
31,509,8,-79118,0,1900,77,1
-282,-5331,49,2084089,6,2790,118,1
12,-284,-33,-459112,32,117,25,3
12,-284,-33,-459112,37,112,7,1
12,-284,-33,-459112,1,6123,139,2
12,-284,-33,-459112,0,3234,100,2
-286,-5460,32,1174582,47,230,15,3
-286,-5460,32,1174582,47,9,4,3
0,0,-4,-948233,63,4,6,2
0,0,-4,-948233,87,1,4,3
0,0,-4,-948233,35,126,10,2
0,0,-4,-948233,64,56,14,2
0,0,-4,-948233,0,39,3,1
